id,result_url,upload_date,uploaded_listing,model_id_original,model_name,model_name_en,arch,framework,backend,ai_device,cpu_name,cpu_topology,base_frequency,memory,os,single_precision_score,half_precision_score,quantized_score
543007,https://browser.geekbench.com/ai/v1/543007,August 03 2026 01:06 PM,"Mon, 03 Aug 2026 13:06:25 +0000","Mac17,9",MacBook Pro（14 英寸，M5 Pro 或 M5 Max）,,Apple Silicon,Core ML,CPU,Apple M5 Pro,Apple M5 Pro,"1 Processor, 18 Cores",4.61 GHz,64.00 GB,macOS 26.6 (Build 25G72),5314,9168,7213
543014,https://browser.geekbench.com/ai/v1/543014,August 03 2026 01:20 PM,"Mon, 03 Aug 2026 13:20:28 +0000","MacBook Pro (14-inch, 2024)","MacBook Pro (14-inch, 2024)","MacBook Pro (14-inch, 2024)",Apple Silicon,Core ML,Neural Engine,Apple M4,Apple M4,"1 Processor, 10 Cores",4.41 GHz,16.00 GB,macOS 15.7.7 (Build 24G720),4827,36580,52766
543047,https://browser.geekbench.com/ai/v1/543047,August 03 2026 02:45 PM,"Mon, 03 Aug 2026 14:45:51 +0000","MacBook Pro (16-inch, 2021)","MacBook Pro (16-inch, 2021)","MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Apple M1 Max,Apple M1 Max,"1 Processor, 10 Cores",3.22 GHz,32.00 GB,macOS 26.6 (Build 25G72),3857,16287,15988
543065,https://browser.geekbench.com/ai/v1/543065,August 03 2026 04:20 PM,"Mon, 03 Aug 2026 16:20:58 +0000","Mac17,6",MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,,Apple Silicon,Core ML,CPU,Apple M5 Max,Apple M5 Max,"1 Processor, 18 Cores",4.61 GHz,64.00 GB,macOS 26.6 (Build 25G72),5483,9472,7295
543066,https://browser.geekbench.com/ai/v1/543066,August 03 2026 04:23 PM,"Mon, 03 Aug 2026 16:23:17 +0000","Mac17,6",MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,,Apple Silicon,Core ML,GPU,Apple M5 Max,Apple M5 Max,"1 Processor, 18 Cores",4.60 GHz,64.00 GB,macOS 26.6 (Build 25G72),29446,46252,43476
543067,https://browser.geekbench.com/ai/v1/543067,August 03 2026 04:25 PM,"Mon, 03 Aug 2026 16:25:10 +0000","Mac17,6",MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,,Apple Silicon,Core ML,Neural Engine,Apple M5 Max,Apple M5 Max,"1 Processor, 18 Cores",4.60 GHz,64.00 GB,macOS 26.6 (Build 25G72),5446,47672,64557
542798,https://browser.geekbench.com/ai/v1/542798,August 03 2026 04:54 AM,"Mon, 03 Aug 2026 04:54:58 +0000","MacBook Pro (16-inch, 2021)","MacBook Pro (16-inch, 2021)","MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Apple M1 Max,Apple M1 Max,"1 Processor, 10 Cores",3.22 GHz,64.00 GB,macOS 26.6 (Build 25G72),3847,16564,16361
542799,https://browser.geekbench.com/ai/v1/542799,August 03 2026 04:56 AM,"Mon, 03 Aug 2026 04:56:37 +0000","MacBook Pro (16-inch, 2021)","MacBook Pro (16-inch, 2021)","MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,CPU,Apple M1 Max,Apple M1 Max,"1 Processor, 10 Cores",3.20 GHz,64.00 GB,macOS 26.6 (Build 25G72),3759,6256,5007
543087,https://browser.geekbench.com/ai/v1/543087,August 03 2026 05:21 PM,"Mon, 03 Aug 2026 17:21:59 +0000","MacBook Pro (14-inch, 2024)","MacBook Pro (14-inch, 2024)","MacBook Pro (14-inch, 2024)",Apple Silicon,Core ML,CPU,Apple M4 Pro,Apple M4 Pro,"1 Processor, 12 Cores",4.33 GHz,24.00 GB,macOS 27.0 (Build 26A5388g),6298,9937,7668
543088,https://browser.geekbench.com/ai/v1/543088,August 03 2026 05:23 PM,"Mon, 03 Aug 2026 17:23:40 +0000","Mac17,6",MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,,Apple Silicon,Core ML,CPU,Apple M5 Max,Apple M5 Max,"1 Processor, 18 Cores",4.60 GHz,48.00 GB,macOS 26.6 (Build 25G72),5413,9426,7327
543089,https://browser.geekbench.com/ai/v1/543089,August 03 2026 05:25 PM,"Mon, 03 Aug 2026 17:25:18 +0000","Mac17,6",MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,,Apple Silicon,Core ML,CPU,Apple M5 Max,Apple M5 Max,"1 Processor, 18 Cores",4.60 GHz,48.00 GB,macOS 26.6 (Build 25G72),5394,9389,7281
543091,https://browser.geekbench.com/ai/v1/543091,August 03 2026 05:28 PM,"Mon, 03 Aug 2026 17:28:58 +0000","Mac17,6",MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,,Apple Silicon,Core ML,Neural Engine,Apple M5 Max,Apple M5 Max,"1 Processor, 18 Cores",4.61 GHz,48.00 GB,macOS 26.6 (Build 25G72),5443,47217,63086
543092,https://browser.geekbench.com/ai/v1/543092,August 03 2026 05:30 PM,"Mon, 03 Aug 2026 17:30:06 +0000","MacBook Pro (14-inch, 2024)","MacBook Pro (14-inch, 2024)","MacBook Pro (14-inch, 2024)",Apple Silicon,Core ML,CPU,Apple M4 Pro,Apple M4 Pro,"1 Processor, 12 Cores",4.33 GHz,24.00 GB,macOS 27.0 (Build 26A5388g),6223,9893,7609
543094,https://browser.geekbench.com/ai/v1/543094,August 03 2026 05:31 PM,"Mon, 03 Aug 2026 17:31:31 +0000","Mac17,6",MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,,Apple Silicon,Core ML,GPU,Apple M5 Max,Apple M5 Max,"1 Processor, 18 Cores",4.60 GHz,48.00 GB,macOS 26.6 (Build 25G72),29291,45897,43061
543095,https://browser.geekbench.com/ai/v1/543095,August 03 2026 05:33 PM,"Mon, 03 Aug 2026 17:33:15 +0000","Mac17,6",MacBook Pro（16 英寸，M5 Pro 或 M5 Max）,,Apple Silicon,Core ML,CPU,Apple M5 Max,Apple M5 Max,"1 Processor, 18 Cores",4.60 GHz,48.00 GB,macOS 26.6 (Build 25G72),5438,9370,7303
543098,https://browser.geekbench.com/ai/v1/543098,August 03 2026 05:40 PM,"Mon, 03 Aug 2026 17:40:14 +0000","MacBook Pro (16-inch, 2021)","MacBook Pro (16-inch, 2021)","MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,Neural Engine,Apple M1 Pro,Apple M1 Pro,"1 Processor, 10 Cores",3.22 GHz,16.00 GB,macOS 26.6 (Build 25G72),3848,17645,17460
543099,https://browser.geekbench.com/ai/v1/543099,August 03 2026 05:42 PM,"Mon, 03 Aug 2026 17:42:39 +0000","MacBook Pro (16-inch, 2021)","MacBook Pro (16-inch, 2021)","MacBook Pro (16-inch, 2021)",Apple Silicon,Core ML,GPU,Apple M1 Pro,Apple M1 Pro,"1 Processor, 10 Cores",3.22 GHz,16.00 GB,macOS 26.6 (Build 25G72),9922,10867,9759
542804,https://browser.geekbench.com/ai/v1/542804,August 03 2026 05:45 AM,"Mon, 03 Aug 2026 05:45:37 +0000","MacBook Pro (14-inch, 2023)","MacBook Pro (14-inch, 2023)","MacBook Pro (14-inch, 2023)",Apple Silicon,Core ML,CPU,Apple M2 Pro,Apple M2 Pro,"1 Processor, 10 Cores",2.38 GHz,16.00 GB,macOS 26.5.1 (Build 25F80),3306,5545,4343
