id,result_url,upload_date,uploaded_listing,model_id_original,model_name,model_name_en,arch,framework,backend,ai_device,cpu_name,cpu_topology,base_frequency,memory,os,single_precision_score,half_precision_score,quantized_score
543154,https://browser.geekbench.com/ai/v1/543154,August 03 2026 09:32 PM,"Mon, 03 Aug 2026 21:32:12 +0000","MacPro7,1",Mac Pro（2019 年）,,Intel,Core ML,GPU,AMD Radeon RX 6800 XT,Intel Core i9-12900K,"1 Processor, 8 Cores, 24 Threads",3.18 GHz,32.00 GB,macOS 15.7.8 (Build 24G824),8233,8765,2011
543566,https://browser.geekbench.com/ai/v1/543566,August 04 2026 01:10 PM,"Tue, 04 Aug 2026 13:10:55 +0000",MacBook Pro (16-inch Late 2019),MacBook Pro (16-inch Late 2019),MacBook Pro (16-inch Late 2019),Intel,Core ML,GPU,AMD Radeon Pro 5500M,Intel Core i9-9880H,"1 Processor, 8 Cores, 16 Threads",2.30 GHz,32.00 GB,macOS 26.5 (Build 25F71),2966,3172,868
543570,https://browser.geekbench.com/ai/v1/543570,August 04 2026 01:30 PM,"Tue, 04 Aug 2026 13:30:40 +0000",MacBook Pro (16-inch Late 2019),MacBook Pro (16-inch Late 2019),MacBook Pro (16-inch Late 2019),Intel,Core ML,CPU,Intel Core i9-9880H,Intel Core i9-9880H,"1 Processor, 8 Cores, 16 Threads",2.30 GHz,32.00 GB,macOS 26.5 (Build 25F71),769,548,367
543577,https://browser.geekbench.com/ai/v1/543577,August 04 2026 01:40 PM,"Tue, 04 Aug 2026 13:40:21 +0000",Mac mini (Late 2018),Mac mini (Late 2018),Mac mini (Late 2018),Intel,Core ML,CPU,Intel Core i7-8700B,Intel Core i7-8700B,"1 Processor, 6 Cores, 12 Threads",3.20 GHz,32.00 GB,macOS 15.7.8 (Build 24G824),877,108,89
543579,https://browser.geekbench.com/ai/v1/543579,August 04 2026 01:47 PM,"Tue, 04 Aug 2026 13:47:01 +0000",Mac mini (Late 2018),Mac mini (Late 2018),Mac mini (Late 2018),Intel,Core ML,GPU,AMD Radeon RX 5700,Intel Core i7-8700B,"1 Processor, 6 Cores, 12 Threads",3.20 GHz,32.00 GB,macOS 15.7.8 (Build 24G824),1878,1967,1083
543609,https://browser.geekbench.com/ai/v1/543609,August 04 2026 03:13 PM,"Tue, 04 Aug 2026 15:13:59 +0000","iMac20,1",iMac（27 英寸，2020 年）,,Intel,Core ML,CPU,Intel Core i7-7700K,Intel Core i7-7700K,"1 Processor, 4 Cores, 8 Threads",4.20 GHz,16.00 GB,macOS 26.6 (Build 25G72),1001,667,469
543637,https://browser.geekbench.com/ai/v1/543637,August 04 2026 04:30 PM,"Tue, 04 Aug 2026 16:30:23 +0000","iMac20,1",iMac（27 英寸，2020 年）,,Intel,Core ML,CPU,Intel Core i5-13400,Intel Core i5-13400,"1 Processor, 6 Cores, 16 Threads",2.50 GHz,24.00 GB,macOS 26.6 (Build 25G72),1571,1061,705
543644,https://browser.geekbench.com/ai/v1/543644,August 04 2026 04:38 PM,"Tue, 04 Aug 2026 16:38:13 +0000","iMac20,1",iMac（27 英寸，2020 年）,,Intel,Core ML,GPU,AMD Radeon RX 570,Intel Core i5-13400,"1 Processor, 6 Cores, 16 Threads",2.50 GHz,24.00 GB,macOS 26.6 (Build 25G72),2892,2710,1003
543649,https://browser.geekbench.com/ai/v1/543649,August 04 2026 05:17 PM,"Tue, 04 Aug 2026 17:17:32 +0000",MacBook Pro (16-inch Late 2019),MacBook Pro (16-inch Late 2019),MacBook Pro (16-inch Late 2019),Intel,Core ML,CPU,Intel Core i9-9880H,Intel Core i9-9880H,"1 Processor, 8 Cores, 16 Threads",2.30 GHz,32.00 GB,macOS 26.5 (Build 25F71),978,630,399
543653,https://browser.geekbench.com/ai/v1/543653,August 04 2026 05:27 PM,"Tue, 04 Aug 2026 17:27:37 +0000","MacPro7,1",Mac Pro（2019 年）,,Intel,Core ML,CPU,Intel Core i9-7980XE,Intel Core i9-7980XE,"1 Processor, 18 Cores, 36 Threads",2.60 GHz,128.00 GB,macOS 26.6 (Build 25G72),1337,907,534
543655,https://browser.geekbench.com/ai/v1/543655,August 04 2026 05:35 PM,"Tue, 04 Aug 2026 17:35:08 +0000","MacPro7,1",Mac Pro（2019 年）,,Intel,Core ML,GPU,AMD Radeon VII,Intel Core i9-7980XE,"1 Processor, 18 Cores, 36 Threads",2.60 GHz,128.00 GB,macOS 26.6 (Build 25G72),4654,4800,1219
543664,https://browser.geekbench.com/ai/v1/543664,August 04 2026 05:53 PM,"Tue, 04 Aug 2026 17:53:19 +0000","MacPro7,1",Mac Pro（2019 年）,,Intel,Core ML,CPU,Intel Core i3-8100,Intel Core i3-8100,"1 Processor, 4 Cores",3.60 GHz,24.00 GB,macOS 26.6 (Build 25G72),807,519,364
543665,https://browser.geekbench.com/ai/v1/543665,August 04 2026 05:55 PM,"Tue, 04 Aug 2026 17:55:10 +0000","iMacPro1,1",iMac Pro（2017 年）,,Intel,Core ML,CPU,Intel Core i5-13400F,Intel Core i5-13400F,"1 Processor, 6 Cores, 16 Threads",2.50 GHz,32.00 GB,macOS 15.7.8 (Build 24G824),1377,153,120
543668,https://browser.geekbench.com/ai/v1/543668,August 04 2026 06:05 PM,"Tue, 04 Aug 2026 18:05:02 +0000","iMacPro1,1",iMac Pro（2017 年）,,Intel,Core ML,CPU,Intel Core i5-13400F,Intel Core i5-13400F,"1 Processor, 6 Cores, 16 Threads",2.50 GHz,32.00 GB,macOS 15.7.8 (Build 24G824),1356,153,120
543684,https://browser.geekbench.com/ai/v1/543684,August 04 2026 07:06 PM,"Tue, 04 Aug 2026 19:06:47 +0000","MacPro7,1",Mac Pro（2019 年）,,Intel,Core ML,GPU,AMD Radeon RX 6600,Intel Core i7-10700,"1 Processor, 8 Cores, 16 Threads",2.90 GHz,32.00 GB,macOS 15.7.8 (Build 24G824),5626,5790,1439
543397,https://browser.geekbench.com/ai/v1/543397,August 04 2026 07:53 AM,"Tue, 04 Aug 2026 07:53:35 +0000",MacBook Pro (13-inch Mid 2020),MacBook Pro (13-inch Mid 2020),MacBook Pro (13-inch Mid 2020),Intel,Core ML,GPU,Intel(R) Iris(TM) Plus Graphics,Intel Core i7-1068NG7,"1 Processor, 4 Cores, 8 Threads",2.30 GHz,16.00 GB,macOS 26.6 (Build 25G72),838,811,443
543415,https://browser.geekbench.com/ai/v1/543415,August 04 2026 08:14 AM,"Tue, 04 Aug 2026 08:14:46 +0000",MacBook Pro (15-inch Mid 2018),MacBook Pro (15-inch Mid 2018),MacBook Pro (15-inch Mid 2018),Intel,Core ML,CPU,Intel Core i7-8850H,Intel Core i7-8850H,"1 Processor, 6 Cores, 12 Threads",2.60 GHz,40.00 GB,macOS 15.7.8 (Build 24G824),773,104,84
543717,https://browser.geekbench.com/ai/v1/543717,August 04 2026 08:46 PM,"Tue, 04 Aug 2026 20:46:44 +0000","iMac20,2",iMac（27 英寸，2020 年）,,Intel,Core ML,CPU,Intel Core i9-13900K,Intel Core i9-13900K,"1 Processor, 8 Cores, 32 Threads",3.00 GHz,64.00 GB,macOS 26.6 (Build 25G70),2087,1382,845
543439,https://browser.geekbench.com/ai/v1/543439,August 04 2026 08:57 AM,"Tue, 04 Aug 2026 08:57:26 +0000","MacBookPro16,3",MacBook Pro（13 英寸，2020 年，两个雷雳 3 端口）,,Intel,Core ML,CPU,Intel Core i5-10310U,Intel Core i5-10310U,"1 Processor, 4 Cores",2.20 GHz,16.00 GB,macOS 26.6 (Build 25G72),650,424,303
