id,model_name,arch,framework,backend,workload,accuracy,score
543007,MacBook Pro（14 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Image Classification (SP),"100%
",2352
543007,MacBook Pro（14 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Image Classification (HP),"100%
",3512
543007,MacBook Pro（14 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Image Classification (Q),"94%
",2199
543007,MacBook Pro（14 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Image Segmentation (SP),"100%
",2500
543007,MacBook Pro（14 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Image Segmentation (HP),"100%
",2924
543007,MacBook Pro（14 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Image Segmentation (Q),"99%
",4066
543007,MacBook Pro（14 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Pose Estimation (SP),"100%
",9516
543007,MacBook Pro（14 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Pose Estimation (HP),"100%
",19353
543007,MacBook Pro（14 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Pose Estimation (Q),"96%
",16742
543007,MacBook Pro（14 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Object Detection (SP),"100%
",2872
543007,MacBook Pro（14 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Object Detection (HP),"98%
",4303
543007,MacBook Pro（14 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Object Detection (Q),"88%
",2892
543007,MacBook Pro（14 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Face Detection (SP),"100%
",5388
543007,MacBook Pro（14 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Face Detection (HP),"100%
",9543
543007,MacBook Pro（14 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Face Detection (Q),"100%
",5246
543007,MacBook Pro（14 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Depth Estimation (SP),"100%
",9135
543007,MacBook Pro（14 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Depth Estimation (HP),"98%
",11644
543007,MacBook Pro（14 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Depth Estimation (Q),"85%
",8240
543007,MacBook Pro（14 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Style Transfer (SP),"100%
",24634
543007,MacBook Pro（14 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Style Transfer (HP),"100%
",45706
543007,MacBook Pro（14 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Style Transfer (Q),"96%
",36349
543007,MacBook Pro（14 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Image Super-Resolution (SP),"100%
",5811
543007,MacBook Pro（14 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Image Super-Resolution (HP),"100%
",10599
543007,MacBook Pro（14 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Image Super-Resolution (Q),"99%
",6233
543007,MacBook Pro（14 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Text Classification (SP),"99%
",5830
543007,MacBook Pro（14 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Text Classification (HP),"99%
",9659
543007,MacBook Pro（14 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Text Classification (Q),"93%
",9585
543007,MacBook Pro（14 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Machine Translation (SP),"100%
",2721
543007,MacBook Pro（14 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Machine Translation (HP),"100%
",9440
543007,MacBook Pro（14 英寸，M5 Pro 或 M5 Max）,Apple Silicon,Core ML,CPU,Machine Translation (Q),"98%
",9393
543014,"MacBook Pro (14-inch, 2024)",Apple Silicon,Core ML,Neural Engine,Image Classification (SP),"100%
",2066
543014,"MacBook Pro (14-inch, 2024)",Apple Silicon,Core ML,Neural Engine,Image Classification (HP),"100%
",17161
543014,"MacBook Pro (14-inch, 2024)",Apple Silicon,Core ML,Neural Engine,Image Classification (Q),"97%
",27550
543014,"MacBook Pro (14-inch, 2024)",Apple Silicon,Core ML,Neural Engine,Image Segmentation (SP),"100%
",2224
543014,"MacBook Pro (14-inch, 2024)",Apple Silicon,Core ML,Neural Engine,Image Segmentation (HP),"100%
",22251
543014,"MacBook Pro (14-inch, 2024)",Apple Silicon,Core ML,Neural Engine,Image Segmentation (Q),"99%
",30060
543014,"MacBook Pro (14-inch, 2024)",Apple Silicon,Core ML,Neural Engine,Pose Estimation (SP),"100%
",10052
543014,"MacBook Pro (14-inch, 2024)",Apple Silicon,Core ML,Neural Engine,Pose Estimation (HP),"100%
",122499
543014,"MacBook Pro (14-inch, 2024)",Apple Silicon,Core ML,Neural Engine,Pose Estimation (Q),"95%
",231124
543014,"MacBook Pro (14-inch, 2024)",Apple Silicon,Core ML,Neural Engine,Object Detection (SP),"100%
",2437
543014,"MacBook Pro (14-inch, 2024)",Apple Silicon,Core ML,Neural Engine,Object Detection (HP),"100%
",18546
543014,"MacBook Pro (14-inch, 2024)",Apple Silicon,Core ML,Neural Engine,Object Detection (Q),"91%
",25538
543014,"MacBook Pro (14-inch, 2024)",Apple Silicon,Core ML,Neural Engine,Face Detection (SP),"100%
",4222
543014,"MacBook Pro (14-inch, 2024)",Apple Silicon,Core ML,Neural Engine,Face Detection (HP),"100%
",43861
543014,"MacBook Pro (14-inch, 2024)",Apple Silicon,Core ML,Neural Engine,Face Detection (Q),"100%
",64077
543014,"MacBook Pro (14-inch, 2024)",Apple Silicon,Core ML,Neural Engine,Depth Estimation (SP),"100%
",8597
